"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
65,"XPENG G6 RWD Long Range","Available to order since May 2024","D",5,"480 km","182 Wh/km","2.100 kg","6,7 sec","574 km","87,5 kWh","180 kW","unknown","571 L","€104 /km","€47,600","€49,990","£44,990","https://ev-database.org/car/2182/XPENG-G6-RWD-Long-Range","https://ev-database.org/img/auto/XPENG_G6/XPENG_G6-01-thumb.jpg"
66,"Mini Countryman E","Available to order since February 2024","C",5,"380 km","170 Wh/km","1.940 kg","8,6 sec","405 km","64,6 kWh","93 kW","750 kg","460 L","€119 /km","€43,500","€43,490","£42,080","https://ev-database.org/car/1994/Mini-Countryman-E","https://ev-database.org/img/auto/Mini_Countryman_2024/Mini_Countryman_2024-01-thumb.jpg"
67,"CUPRA Born 170 kW - 77 kWh","Discontinued (March 2022 - July 2024)","C",4,"450 km","171 Wh/km","1.950 kg","7,0 sec","488 km","77,0 kWh","115 kW","0 kg","385 L","€103 /km","€46,450","€46,989","£39,625","https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh","https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg"
68,"Hyundai IONIQ 6 Long Range 2WD","Available to order since December 2022","D",5,"495 km","149 Wh/km","1.985 kg","7,4 sec","637 km","74,0 kWh","200 kW","1.500 kg","446 L","€107 /km","€54,000","€50,895","£47,040","https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD","https://ev-database.org/img/auto/Hyundai_IONIQ6_2022/Hyundai_IONIQ6_2022-01-thumb.jpg"
69,"Mini Cooper SE","Discontinued (March 2021 - February 2024)","B",4,"180 km","161 Wh/km","1.440 kg","7,3 sec","183 km","28,9 kWh","44 kW","0 kg","211 L","€207 /km","€35,700","€38,690","£32,550","https://ev-database.org/car/1409/Mini-Cooper-SE","https://ev-database.org/img/auto/Mini_Electric_2021/Mini_Electric_2021-01-thumb.jpg"
70,"Audi Q4 e-tron 40","Discontinued (June 2021 - January 2024)","C",5,"405 km","189 Wh/km","2.125 kg","8,5 sec","430 km","76,6 kWh","125 kW","1.000 kg","520 L","€140 /km","€51,900","€59,415","£50,630","https://ev-database.org/car/1490/Audi-Q4-e-tron-40","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
71,"Audi e-tron 50 quattro","Discontinued (November 2019 - March 2022)","E",5,"280 km","231 Wh/km","2.445 kg","6,8 sec","299 km","64,7 kWh","114 kW","1.800 kg","660 L","€240 /km","€69,100","€62,700","£60,600","https://ev-database.org/car/1209/Audi-e-tron-50-quattro","https://ev-database.org/img/auto/Audi_e-tron-50-quattro/Audi_e-tron-50-quattro-01-thumb.jpg"
72,"MG ZS EV Long Range","Available to order since November 2021","B",5,"370 km","185 Wh/km","1.695 kg","8,4 sec","352 km","68,3 kWh","82 kW","500 kg","448 L","€105 /km","€37,990","€40,185","£32,995","https://ev-database.org/car/1541/MG-ZS-EV-Long-Range","https://ev-database.org/img/auto/MG_ZS_EV_2022/MG_ZS_EV_2022-01-thumb.jpg"
73,"BYD TANG Flagship","Available to order since November 2024","E",7,"460 km","237 Wh/km","2.705 kg","4,9 sec","444 km","108,8 kWh","100 kW","1.500 kg","235 L","€149 /km","€69,615","€67,390","N/A","https://ev-database.org/car/2095/BYD-TANG-Flagship","https://ev-database.org/img/auto/BYD_TANG_2024/BYD_TANG_2024-01-thumb.jpg"
74,"BYD TANG","Discontinued (August 2022 - November 2024)","E",7,"355 km","243 Wh/km","2.705 kg","4,6 sec","342 km","86,4 kWh","109 kW","1.500 kg","235 L","€199 /km","€71,400","€69,990","N/A","https://ev-database.org/car/1783/BYD-TANG","https://ev-database.org/img/auto/BYD_TANG/BYD_TANG-01-thumb.jpg"
75,"Audi A6 Sportback e-tron performance","Available to order since September 2024","E",5,"600 km","158 Wh/km","2.250 kg","5,4 sec","730 km","94,9 kWh","200 kW","2.100 kg","529 L","€129 /km","€75,600","€75,990","£69,900","https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance","https://ev-database.org/img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg"
76,"BMW i4 eDrive40","Available to order since June 2024","D",5,"515 km","158 Wh/km","2.125 kg","5,6 sec","589 km","81,3 kWh","131 kW","1.600 kg","470 L","€124 /km","€60,500","€63,358","£59,365","https://ev-database.org/car/2199/BMW-i4-eDrive40","https://ev-database.org/img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg"
77,"BMW iX1 eDrive20","Available to order since September 2023","C",5,"390 km","166 Wh/km","1.940 kg","8,3 sec","418 km","64,7 kWh","93 kW","750 kg","490 L","€127 /km","€47,900","€48,316","£45,465","https://ev-database.org/car/1996/BMW-iX1-eDrive20","https://ev-database.org/img/auto/BMW_iX1_2022/BMW_iX1_2022-01-thumb.jpg"
78,"Tesla Model S 75D","Discontinued (May 2016 - April 2019)","F",5,"380 km","191 Wh/km","2.183 kg","4,4 sec","386 km","72,5 kWh","80 kW","0 kg","804 L","€216 /km","€71,019","€91,720","£72,350","https://ev-database.org/car/1070/Tesla-Model-S-75D","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
79,"Nissan Ariya 87kWh","Available to order since July 2022","C",5,"450 km","193 Wh/km","2.121 kg","7,6 sec","445 km","87,0 kWh","110 kW","750 kg","468 L","€111 /km","€53,490","€44,990","£44,645","https://ev-database.org/car/1302/Nissan-Ariya-87kWh","https://ev-database.org/img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb.jpg"
80,"Rolls-Royce Spectre","Available to order since October 2023","F",4,"465 km","219 Wh/km","2.965 kg","4,5 sec","494 km","102,0 kWh","126 kW","unknown","380 L","€828 /km","€379,015","€396,275","£330,000","https://ev-database.org/car/1765/Rolls-Royce-Spectre","https://ev-database.org/img/auto/Rolls-Royce-Spectre/Rolls-Royce-Spectre-01-thumb.jpg"
81,"Mercedes-Benz EQA 250","Available to order since October 2023","C",5,"395 km","168 Wh/km","2.045 kg","8,6 sec","405 km","66,5 kWh","100 kW","1.500 kg","340 L","€129 /km","€50,777","N/A","N/A","https://ev-database.org/car/1984/Mercedes-Benz-EQA-250","https://ev-database.org/img/auto/Mercedes_EQA_2024/Mercedes_EQA_2024-01-thumb.jpg"
82,"KGM Torres EVX","Available to order since April 2024","C",5,"370 km","195 Wh/km","1.979 kg","8,1 sec","368 km","72,0 kWh","85 kW","1.500 kg","839 L","€123 /km","€43,990","€41,250","£44,495","https://ev-database.org/car/2189/KGM-Torres-EVX","https://ev-database.org/img/auto/KGM_Torres_EVX/KGM_Torres_EVX-01-thumb.jpg"
83,"BMW iX xDrive50","Discontinued (November 2021 - January 2025)","E",5,"505 km","208 Wh/km","2.585 kg","4,6 sec","538 km","105,2 kWh","149 kW","2.500 kg","500 L","€213 /km","€100,100","€105,097","£102,755","https://ev-database.org/car/1473/BMW-iX-xDrive50","https://ev-database.org/img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb.jpg"
84,"BYD SEAL U 87 kWh Design","Available to order since April 2024","D",5,"425 km","205 Wh/km","2.222 kg","9,6 sec","418 km","87,0 kWh","85 kW","1.300 kg","552 L","€107 /km","€44,990","€45,990","N/A","https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design","https://ev-database.org/img/auto/BYD_SEAL_U/BYD_SEAL_U-01-thumb.jpg"
85,"Volkswagen ID.4 Pro Performance","Discontinued (January 2021 - November 2023)","C",5,"410 km","188 Wh/km","2.109 kg","8,5 sec","436 km","77,0 kWh","125 kW","1.000 kg","543 L","€124 /km","€46,335","€53,690","£46,035","https://ev-database.org/car/1314/Volkswagen-ID4-Pro-Performance","https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb.jpg"
86,"Kia EV6 Long Range 2WD","Available to order since September 2024","C",5,"460 km","174 Wh/km","1.950 kg","7,3 sec","577 km","80,0 kWh","205 kW","1.800 kg","542 L","€110 /km","€49,990","€49,495","£45,575","https://ev-database.org/car/3028/Kia-EV6-Long-Range-2WD","https://ev-database.org/img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg"
87,"Hyundai IONIQ Electric","Discontinued (October 2016 - September 2019)","C",5,"190 km","147 Wh/km","1.495 kg","9,9 sec","225 km","28,0 kWh","65 kW","0 kg","350 L","€173 /km","€33,300","€33,995","£27,250","https://ev-database.org/car/1057/Hyundai-IONIQ-Electric","https://ev-database.org/img/auto/Hyundai_IONIQ_Electric/Hyundai_IONIQ_Electric-01-thumb.jpg"
88,"Skoda Enyaq iV 80","Discontinued (April 2021 - October 2023)","C",5,"440 km","175 Wh/km","2.075 kg","8,6 sec","468 km","77,0 kWh","125 kW","1.000 kg","585 L","€112 /km","€48,900","€48,990","£42,925","https://ev-database.org/car/1280/Skoda-Enyaq-iV-80","https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg"
89,"Volkswagen ID.3 Pro","Discontinued (March 2023 - June 2024)","C",5,"350 km","166 Wh/km","1.815 kg","7,3 sec","378 km","58,0 kWh","82 kW","0 kg","385 L","€125 /km","€39,995","€39,990","£44,990","https://ev-database.org/car/1831/Volkswagen-ID3-Pro","https://ev-database.org/img/auto/Volkswagen_ID3_2023/Volkswagen_ID3_2023-01-thumb.jpg"
90,"Hyundai Kona Electric 64 kWh","Discontinued (November 2019 - October 2021)","B",5,"390 km","164 Wh/km","1.760 kg","7,9 sec","363 km","64,0 kWh","64 kW","0 kg","361 L","€110 /km","€41,850","€41,595","£39,150","https://ev-database.org/car/1204/Hyundai-Kona-Electric-64-kWh","https://ev-database.org/img/auto/Hyundai_Kona_Electric_2020/Hyundai_Kona_Electric_2020-01-thumb.jpg"
91,"Mazda 6e","Available to order from June 2025*","D",5,"390 km","169 Wh/km","2.027 kg","7,6 sec","459 km","66,0 kWh","126 kW","1.500 kg","400 L","€114 /km","* €45,000","* €45,000","* £38,000","https://ev-database.org/car/3107/Mazda-6e","https://ev-database.org/img/auto/Mazda_6e/Mazda_6e-01-thumb.jpg"
92,"Audi A6 Avant e-tron performance","Available to order since September 2024","E",5,"565 km","168 Wh/km","2.260 kg","5,4 sec","685 km","94,9 kWh","200 kW","2.100 kg","529 L","€140 /km","€77,250","€77,490","£71,700","https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance","https://ev-database.org/img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg"
93,"Hyundai INSTER Standard Range","Available to order since October 2024","A",4,"250 km","156 Wh/km","1.388 kg","11,7 sec","262 km","39,0 kWh","60 kW","unknown","280 L","€100 /km","€23,900","€24,295","£23,495","https://ev-database.org/car/2230/Hyundai-INSTER-Standard-Range","https://ev-database.org/img/auto/Hyundai_Inster_2025/Hyundai_Inster_2025-01-thumb.jpg"
