"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
239,"Tesla Model X Dual Motor","Available to order since January 2023","F",7,"485 km","196 Wh/km","2.415 kg","3,9 sec","539 km","95,0 kWh","140 kW","2.250 kg","608 L","€242 /km","€115,970","€115,990","* £105,000","https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor","https://ev-database.org/img/auto/Tesla_Model_X_2021/Tesla_Model_X_2021-01-thumb.jpg"
240,"Polestar 2","Discontinued (August 2020 - May 2021)","D",5,"390 km","192 Wh/km","2.198 kg","4,7 sec","419 km","75,0 kWh","108 kW","1.500 kg","440 L","€150 /km","€57,900","€59,800","£49,900","https://ev-database.org/car/1170/Polestar-2","https://ev-database.org/img/auto/Polestar_2/Polestar_2-01-thumb.jpg"
241,"Tesla Model S Performance","Discontinued (November 2020 - March 2021)","F",5,"535 km","183 Wh/km","2.307 kg","2,6 sec","595 km","98,0 kWh","125 kW","0 kg","894 L","€194 /km","€98,990","€103,005","£94,980","https://ev-database.org/car/1324/Tesla-Model-S-Performance","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
242,"Volkswagen e-Up!","Discontinued (January 2020 - November 2021)","A",4,"205 km","158 Wh/km","1.235 kg","11,9 sec","188 km","32,3 kWh","30 kW","0 kg","250 L","€118 /km","€21,421","€25,850","£22,055","https://ev-database.org/car/1189/Volkswagen-e-Up","https://ev-database.org/img/auto/Volkswagen_e-Up-2019/Volkswagen_e-Up-2019-01-thumb.jpg"
243,"NIO ET7 Standard Range","Available to order since October 2022","F",5,"415 km","177 Wh/km","2.434 kg","3,8 sec","456 km","73,5 kWh","110 kW","2.000 kg","363 L","€201 /km","€81,900","€84,900","N/A","https://ev-database.org/car/1751/NIO-ET7-Standard-Range","https://ev-database.org/img/auto/NIO_ET7/NIO_ET7-01-thumb.jpg"
244,"Fiat 600e","Available to order since July 2023","B",5,"310 km","164 Wh/km","1.595 kg","9,0 sec","333 km","50,8 kWh","79 kW","0 kg","360 L","€116 /km","€36,490","€32,990","£32,995","https://ev-database.org/car/1945/Fiat-600e","https://ev-database.org/img/auto/Fiat_600e/Fiat_600e-01-thumb.jpg"
245,"Tesla Model Y","Discontinued (November 2022 - January 2025)","D",5,"350 km","164 Wh/km","1.992 kg","6,9 sec","431 km","57,5 kWh","140 kW","1.600 kg","971 L","€137 /km","€45,970","€45,990","£44,990","https://ev-database.org/car/1974/Tesla-Model-Y","https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg"
246,"Tesla Model 3 Long Range RWD","Discontinued (April 2023 - October 2023)","D",5,"495 km","152 Wh/km","1.825 kg","5,9 sec","586 km","75,0 kWh","124 kW","1.000 kg","649 L","€102 /km","N/A","€46,993","£46,990","https://ev-database.org/car/1976/Tesla-Model-3-Long-Range-RWD","https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg"
247,"Tesla Model 3 Long Range RWD","Discontinued (April 2019 - July 2019)","D",5,"475 km","155 Wh/km","1.801 kg","5,3 sec","583 km","73,5 kWh","163 kW","910 kg","542 L","€114 /km","N/A","€54,018","N/A","https://ev-database.org/car/1100/Tesla-Model-3-Long-Range-RWD","https://ev-database.org/img/auto/Tesla_Model_3/Tesla_Model_3-01-thumb.jpg"
248,"Opel Frontera 44 kWh","Available to order since June 2024","B",5,"250 km","176 Wh/km","1.514 kg","12,1 sec","263 km","44,0 kWh","60 kW","350 kg","460 L","€115 /km","€28,990","€30,499","£23,495","https://ev-database.org/car/2238/Opel-Frontera-44-kWh","https://ev-database.org/img/auto/Opel_Frontera_2024/Opel_Frontera_2024-01-thumb.jpg"
249,"BMW i4 M50","Available to order since June 2024","D",5,"450 km","181 Wh/km","2.290 kg","3,9 sec","516 km","81,3 kWh","131 kW","1.600 kg","470 L","€173 /km","€72,100","€77,999","£72,375","https://ev-database.org/car/2201/BMW-i4-M50","https://ev-database.org/img/auto/BMW_i4_M50_2024/BMW_i4_M50_2024-01-thumb.jpg"
250,"Ford Puma Gen-E","Available to order since December 2024","B",5,"275 km","159 Wh/km","1.563 kg","8,0 sec","312 km","43,6 kWh","85 kW","750 kg","566 L","€130 /km","€36,900","€35,495","£29,995","https://ev-database.org/car/3073/Ford-Puma-Gen-E","https://ev-database.org/img/auto/Ford_Puma_Gen-E/Ford_Puma_Gen-E-01-thumb.jpg"
251,"Tesla Model 3 Long Range Performance","Discontinued (February 2019 - October 2020)","D",5,"440 km","167 Wh/km","1.931 kg","3,5 sec","543 km","73,5 kWh","163 kW","0 kg","542 L","€145 /km","€61,480","€65,595","£56,490","https://ev-database.org/car/1139/Tesla-Model-3-Long-Range-Performance","https://ev-database.org/img/auto/Tesla_Model_3/Tesla_Model_3-01-thumb.jpg"
252,"Volvo EX90 Twin Motor Performance","Available to order since December 2022","F",7,"450 km","238 Wh/km","2.811 kg","4,9 sec","484 km","107,0 kWh","150 kW","2.200 kg","347 L","€230 /km","€96,800","€98,495","£100,555","https://ev-database.org/car/1776/Volvo-EX90-Twin-Motor-Performance","https://ev-database.org/img/auto/Volvo_EX90/Volvo_EX90-01-thumb.jpg"
253,"Lotus Eletre","Available to order since March 2023","F",5,"495 km","220 Wh/km","2.565 kg","4,5 sec","604 km","109,0 kWh","259 kW","2.250 kg","657 L","€202 /km","€96,990","€98,690","£90,805","https://ev-database.org/car/1767/Lotus-Eletre","https://ev-database.org/img/auto/Lotus_Eletre/Lotus_Eletre-01-thumb.jpg"
254,"Audi Q6 e-tron performance","Available to order since May 2024","D",5,"490 km","194 Wh/km","2.275 kg","6,6 sec","570 km","94,9 kWh","190 kW","2.000 kg","590 L","€145 /km","€68,800","€71,950","£63,475","https://ev-database.org/car/2215/Audi-Q6-e-tron-performance","https://ev-database.org/img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg"
255,"Audi e-tron GT RS","Discontinued (March 2021 - March 2024)","F",4,"405 km","210 Wh/km","2.420 kg","3,3 sec","511 km","85,0 kWh","216 kW","0 kg","451 L","€361 /km","€146,050","€155,225","£119,000","https://ev-database.org/car/1153/Audi-e-tron-GT-RS","https://ev-database.org/img/auto/Audi_e-tron_GT_RS/Audi_e-tron_GT_RS-01-thumb.jpg"
256,"MG ZS EV Standard Range","Available to order since November 2021","B",5,"265 km","185 Wh/km","1.645 kg","8,6 sec","257 km","49,0 kWh","50 kW","500 kg","448 L","€132 /km","€33,990","€35,885","£30,495","https://ev-database.org/car/1540/MG-ZS-EV-Standard-Range","https://ev-database.org/img/auto/MG_ZS_EV_2022/MG_ZS_EV_2022-01-thumb.jpg"
257,"Lexus UX 300e","Available to order since April 2023","C",5,"340 km","188 Wh/km","1.885 kg","7,5 sec","289 km","64,0 kWh","35 kW","0 kg","316 L","€135 /km","N/A","N/A","£39,995","https://ev-database.org/car/1943/Lexus-UX-300e","https://ev-database.org/img/auto/Lexus_UX_300e_Electric_2023/Lexus_UX_300e_Electric_2023-01-thumb.jpg"
258,"XPENG G9 AWD Performance","Available to order since February 2023","E",5,"465 km","200 Wh/km","2.415 kg","3,9 sec","577 km","93,1 kWh","224 kW","1.500 kg","731 L","€154 /km","€69,600","€73,188","N/A","https://ev-database.org/car/1826/XPENG-G9-AWD-Performance","https://ev-database.org/img/auto/XPENG_G9/XPENG_G9-01-thumb.jpg"
259,"Kia EV6 Standard Range 2WD","Available to order since September 2024","C",5,"355 km","169 Wh/km","1.855 kg","8,7 sec","433 km","60,0 kWh","150 kW","750 kg","542 L","€127 /km","€44,990","€44,995","N/A","https://ev-database.org/car/3030/Kia-EV6-Standard-Range-2WD","https://ev-database.org/img/auto/Kia_EV6_2024/Kia_EV6_2024-01-thumb.jpg"
260,"Tesla Model S 75","Discontinued (May 2016 - October 2017)","F",5,"380 km","191 Wh/km","2.102 kg","4,6 sec","386 km","72,5 kWh","80 kW","unknown","895 L","€189 /km","€69,970","€81,285","£55,880","https://ev-database.org/car/1071/Tesla-Model-S-75","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
261,"Maxus MIFA 9","Available to order since February 2023","N",7,"365 km","230 Wh/km","2.385 kg","9,2 sec","346 km","84,0 kWh","103 kW","1.000 kg","521 L","€197 /km","€68,990","N/A","£65,290","https://ev-database.org/car/1837/Maxus-MIFA-9","https://ev-database.org/img/auto/Maxus_MIFA_9/Maxus_MIFA_9-01-thumb.jpg"
262,"BMW i5 M60 xDrive Sedan","Available to order since May 2023","E",5,"420 km","193 Wh/km","2.380 kg","3,8 sec","479 km","81,2 kWh","136 kW","2.000 kg","490 L","€255 /km","€99,500","€109,463","£97,745","https://ev-database.org/car/1907/BMW-i5-M60-xDrive-Sedan","https://ev-database.org/img/auto/BMW_i5_M60_xDrive_Sedan/BMW_i5_M60_xDrive_Sedan-01-thumb.jpg"
263,"Volkswagen ID. Buzz LWB Pro","Available to order since June 2024","N",7,"370 km","232 Wh/km","2.636 kg","7,9 sec","407 km","86,0 kWh","145 kW","1.000 kg","1.340 L","€168 /km","€62,719","€54,990","£59,395","https://ev-database.org/car/2154/Volkswagen-ID-Buzz-LWB-Pro","https://ev-database.org/img/auto/Volkswagen_ID_Buzz_LWB/Volkswagen_ID_Buzz_LWB-01-thumb.jpg"
264,"Mercedes-Benz EQE 350+","Discontinued (April 2022 - September 2023)","E",5,"525 km","173 Wh/km","2.355 kg","6,4 sec","572 km","90,6 kWh","141 kW","750 kg","430 L","€153 /km","€70,626","€82,028","£76,450","https://ev-database.org/car/1538/Mercedes-Benz-EQE-350plus","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
265,"Lucid Air Dream Edition R","Discontinued (January 2022 - January 2024)","F",5,"685 km","172 Wh/km","2.435 kg","2,9 sec","786 km","118,0 kWh","185 kW","0 kg","739 L","€321 /km","€218,000","€222,000","N/A","https://ev-database.org/car/1696/Lucid-Air-Dream-Edition-R","https://ev-database.org/img/auto/Lucid_Air/Lucid_Air-01-thumb.jpg"
266,"Kia e-Niro 64 kWh","Discontinued (January 2020 - January 2021)","C",5,"375 km","171 Wh/km","1.812 kg","7,8 sec","349 km","64,0 kWh","64 kW","0 kg","451 L","€108 /km","€38,105","€44,995","£33,850","https://ev-database.org/car/1260/Kia-e-Niro-64-kWh","https://ev-database.org/img/auto/Kia_e-Niro-2020/Kia_e-Niro-2020-01-thumb.jpg"
267,"Nissan Ariya 63kWh","Available to order since July 2022","C",5,"335 km","188 Wh/km","1.980 kg","7,5 sec","351 km","63,0 kWh","90 kW","750 kg","468 L","€134 /km","€47,490","€41,990","£39,645","https://ev-database.org/car/1301/Nissan-Ariya-63kWh","https://ev-database.org/img/auto/Nissan_Ariya/Nissan_Ariya-01-thumb.jpg"
268,"Smart #1 Brabus","Available to order since March 2023","B",5,"325 km","191 Wh/km","1.975 kg","3,9 sec","357 km","62,0 kWh","100 kW","1.600 kg","328 L","€153 /km","€48,990","€50,400","£43,450","https://ev-database.org/car/1748/Smart-1-Brabus","https://ev-database.org/img/auto/Smart_1_Brabus_2023/Smart_1_Brabus_2023-01-thumb.jpg"
269,"Mercedes-Benz EQS SUV 450 4MATIC","Available to order since October 2023","F",7,"530 km","223 Wh/km","2.840 kg","6,1 sec","543 km","118,0 kWh","160 kW","1.800 kg","645 L","€247 /km","€114,609","€129,660","£129,470","https://ev-database.org/car/2088/Mercedes-Benz-EQS-SUV-450-4MATIC","https://ev-database.org/img/auto/Mercedes_EQS_SUV_2022/Mercedes_EQS_SUV_2022-01-thumb.jpg"
270,"Porsche Macan Electric","Available to order since July 2024","D",5,"510 km","186 Wh/km","2.295 kg","5,7 sec","606 km","95,0 kWh","200 kW","2.000 kg","624 L","€159 /km","€80,700","€85,300","£67,200","https://ev-database.org/car/2083/Porsche-Macan-Electric","https://ev-database.org/img/auto/Porsche_Macan_Electric_2024/Porsche_Macan_Electric_2024-01-thumb.jpg"
271,"VinFast VF 9 Extended Range","Available to order from March 2025*","F",7,"515 km","239 Wh/km","2.900 kg","6,5 sec","492 km","123,0 kWh","130 kW","unknown","287 L","€176 /km","€89,790","€91,300","N/A","https://ev-database.org/car/1811/VinFast-VF-9-Extended-Range","https://ev-database.org/img/auto/VinFast_VF_9/VinFast_VF_9-01-thumb.jpg"
272,"BYD SEALION 7 82.5 kWh AWD Design","Available to order since December 2024","D",5,"405 km","204 Wh/km","2.315 kg","4,5 sec","425 km","82,5 kWh","115 kW","1.500 kg","578 L","€138 /km","€53,990","€53,690","£51,990","https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design","https://ev-database.org/img/auto/BYD_SEALION_7/BYD_SEALION_7-01-thumb.jpg"
273,"Skoda Enyaq 85x","Available to order since January 2025","C",5,"450 km","171 Wh/km","2.230 kg","6,7 sec","501 km","77,0 kWh","120 kW","1.200 kg","585 L","€119 /km","€51,150","N/A","£48,750","https://ev-database.org/car/3098/Skoda-Enyaq-85x","https://ev-database.org/img/auto/Skoda_Enyaq_2025/Skoda_Enyaq_2025-01-thumb.jpg"
274,"Ford Capri Extended Range AWD","Available to order since July 2024","D",5,"445 km","178 Wh/km","2.174 kg","5,3 sec","500 km","79,0 kWh","135 kW","1.200 kg","572 L","€131 /km","€54,831","€55,850","£56,175","https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD","https://ev-database.org/img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg"
275,"BYD ATTO 2","Available to order since March 2025","B",5,"245 km","184 Wh/km","1.645 kg","7,9 sec","235 km","45,1 kWh","51 kW","750 kg","400 L","€135 /km","N/A","€31,690","* £30,000","https://ev-database.org/car/3125/BYD-ATTO-2","https://ev-database.org/img/auto/BYD_ATTO_2/BYD_ATTO_2-01-thumb.jpg"
276,"Renault 5 E-Tech 40kWh 120hp","Available to order since November 2024","B",5,"250 km","160 Wh/km","1.447 kg","9,0 sec","262 km","40,0 kWh","55 kW","500 kg","326 L","€110 /km","€27,900","€27,990","£22,995","https://ev-database.org/car/2134/Renault-5-E-Tech-40kWh-120hp","https://ev-database.org/img/auto/Renault_5_ETech/Renault_5_ETech-01-thumb.jpg"
277,"Polestar 3 Long Range Single motor","Available to order since June 2024","E",5,"500 km","214 Wh/km","2.575 kg","7,8 sec","542 km","107,0 kWh","150 kW","1.500 kg","516 L","€159 /km","€78,590","€79,950","£69,900","https://ev-database.org/car/2229/Polestar-3-Long-Range-Single-motor","https://ev-database.org/img/auto/Polestar_3/Polestar_3-01-thumb.jpg"
278,"Tesla Model S Long Range Plus","Discontinued (November 2020 - March 2021)","F",5,"555 km","177 Wh/km","2.255 kg","3,8 sec","620 km","98,0 kWh","125 kW","0 kg","894 L","€156 /km","€81,990","€86,005","£79,980","https://ev-database.org/car/1323/Tesla-Model-S-Long-Range-Plus","https://ev-database.org/img/auto/Tesla_Model_S_2016/Tesla_Model_S_2016-01-thumb.jpg"
279,"Renault 5 E-Tech 40kWh 95hp","Available to order from May 2025*","B",5,"255 km","157 Wh/km","1.400 kg","10,0 sec","182 km","40,0 kWh","0 kW","500 kg","326 L","€98 /km","€24,900","* €25,000","* £22,000","https://ev-database.org/car/2133/Renault-5-E-Tech-40kWh-95hp","https://ev-database.org/img/auto/Renault_5_ETech/Renault_5_ETech-01-thumb.jpg"
280,"Mercedes-Benz EQA 250","Discontinued (April 2021 - June 2022)","C",5,"360 km","185 Wh/km","2.040 kg","8,9 sec","368 km","66,5 kWh","100 kW","750 kg","340 L","€144 /km","€47,541","€52,899","£47,510","https://ev-database.org/car/1147/Mercedes-Benz-EQA-250","https://ev-database.org/img/auto/Mercedes_EQA/Mercedes_EQA-01-thumb.jpg"
281,"Audi Q4 e-tron 50 quattro","Discontinued (July 2021 - January 2024)","C",5,"385 km","199 Wh/km","2.210 kg","6,2 sec","418 km","76,6 kWh","115 kW","1.200 kg","520 L","€168 /km","€57,900","€71,015","£57,010","https://ev-database.org/car/1491/Audi-Q4-e-tron-50-quattro","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
282,"Hyundai Kona Electric 39 kWh","Discontinued (June 2021 - December 2023)","B",5,"245 km","160 Wh/km","1.610 kg","9,9 sec","223 km","39,2 kWh","37 kW","0 kg","332 L","€149 /km","€36,400","€35,495","£32,450","https://ev-database.org/car/1422/Hyundai-Kona-Electric-39-kWh","https://ev-database.org/img/auto/Hyundai_Kona_Electric_2021/Hyundai_Kona_Electric_2021-01-thumb.jpg"
283,"Lancia Ypsilon","Available to order since June 2024","B",5,"310 km","155 Wh/km","1.561 kg","8,2 sec","334 km","48,1 kWh","80 kW","0 kg","309 L","€122 /km","* €40,000","€35,400","N/A","https://ev-database.org/car/2117/Lancia-Ypsilon","https://ev-database.org/img/auto/Lancia_Ypsilon/Lancia_Ypsilon-01-thumb.jpg"
284,"Volvo EX40 Single Motor","Available to order since February 2024","C",5,"345 km","194 Wh/km","2.040 kg","7,3 sec","383 km","67,0 kWh","110 kW","1.500 kg","441 L","€144 /km","€49,990","€45,995","£45,955","https://ev-database.org/car/2120/Volvo-EX40-Single-Motor","https://ev-database.org/img/auto/Volvo_EX40_2025/Volvo_EX40_2025-01-thumb.jpg"
285,"Tesla Model S P85D","Discontinued (November 2014 - February 2016)","F",5,"390 km","207 Wh/km","2.262 kg","3,3 sec","393 km","80,8 kWh","95 kW","unknown","895 L","€300 /km","€115,000","€119,000","N/A","https://ev-database.org/car/1036/Tesla-Model-S-P85D","https://ev-database.org/img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg"
286,"BMW iX M60","Discontinued (April 2022 - January 2025)","E",5,"485 km","217 Wh/km","2.659 kg","3,8 sec","515 km","105,2 kWh","149 kW","2.500 kg","500 L","€285 /km","€136,100","€137,041","£122,775","https://ev-database.org/car/1590/BMW-iX-M60","https://ev-database.org/img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb.jpg"
287,"Audi S6 Avant e-tron","Available to order since September 2024","E",5,"525 km","181 Wh/km","2.410 kg","3,9 sec","630 km","94,9 kWh","200 kW","2.100 kg","529 L","€201 /km","€101,150","€101,490","£99,300","https://ev-database.org/car/2273/Audi-S6-Avant-e-tron","https://ev-database.org/img/auto/Audi_S6_Avant_etron_2024/Audi_S6_Avant_etron_2024-01-thumb.jpg"
288,"Volkswagen ID.3 GTX","Available to order since May 2024","C",5,"460 km","172 Wh/km","1.985 kg","5,9 sec","517 km","79,0 kWh","135 kW","0 kg","385 L","€112 /km","€50,795","€51,990","N/A","https://ev-database.org/car/2152/Volkswagen-ID3-GTX","https://ev-database.org/img/auto/Volkswagen_ID3_GTX_2024/Volkswagen_ID3_GTX_2024-01-thumb.jpg"
289,"Skoda Enyaq Coupe 85","Available to order since January 2025","C",5,"470 km","164 Wh/km","2.145 kg","6,7 sec","498 km","77,0 kWh","120 kW","1.000 kg","570 L","€108 /km","€51,150","€47,990","£46,200","https://ev-database.org/car/3100/Skoda-Enyaq-Coupe-85","https://ev-database.org/img/auto/Skoda_Enyaq_Coupe_2025/Skoda_Enyaq_Coupe_2025-01-thumb.jpg"
290,"Ford Explorer Extended Range RWD","Available to order since September 2024","C",5,"435 km","182 Wh/km","2.180 kg","8,5 sec","485 km","79,0 kWh","135 kW","1.200 kg","536 L","€106 /km","€48,500","€43,750","N/A","https://ev-database.org/car/3105/Ford-Explorer-Extended-Range-RWD","https://ev-database.org/img/auto/Ford_Explorer_2024/Ford_Explorer_2024-01-thumb.jpg"
291,"Kia EV6 GT","Available to order since January 2025","C",5,"385 km","208 Wh/km","2.220 kg","3,5 sec","477 km","80,0 kWh","205 kW","1.800 kg","500 L","€185 /km","€69,990","€68,495","* £65,000","https://ev-database.org/car/3079/Kia-EV6-GT","https://ev-database.org/img/auto/Kia_EV6_GT_2025/Kia_EV6_GT_2025-01-thumb.jpg"
292,"NIO EL8 Long Range","Available to order since June 2024","F",6,"440 km","205 Wh/km","2.633 kg","4,1 sec","524 km","90,0 kWh","190 kW","2.000 kg","265 L","€232 /km","€103,900","€99,900","N/A","https://ev-database.org/car/2223/NIO-EL8-Long-Range","https://ev-database.org/img/auto/NIO_EL8/NIO_EL8-01-thumb.jpg"
293,"Ford Mustang Mach-E ER RWD","Available to order since July 2024","D",5,"480 km","190 Wh/km","2.150 kg","5,6 sec","491 km","91,0 kWh","115 kW","1.500 kg","422 L","€126 /km","€58,500","€54,400","£59,830","https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD","https://ev-database.org/img/auto/Ford_Mustang_Mach-E/Ford_Mustang_Mach-E-01-thumb.jpg"
294,"Hyundai IONIQ 9 Long Range RWD","Available to order from September 2025*","F",7,"495 km","214 Wh/km","2.600 kg","9,4 sec","559 km","106,0 kWh","195 kW","2.500 kg","708 L","€139 /km","* €69,000","* €67,000","* £61,000","https://ev-database.org/car/3067/Hyundai-IONIQ-9-Long-Range-RWD","https://ev-database.org/img/auto/Hyundai_IONIQ9_2024/Hyundai_IONIQ9_2024-01-thumb.jpg"
295,"Tesla Model X 75D","Discontinued (October 2016 - September 2018)","F",7,"335 km","216 Wh/km","2.427 kg","5,2 sec","336 km","72,5 kWh","80 kW","2.250 kg","unknown","€283 /km","€93,500","€99,670","£79,400","https://ev-database.org/car/1052/Tesla-Model-X-75D","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
296,"Mercedes-Benz B 250e","Discontinued (January 2015 - October 2017)","C",5,"150 km","187 Wh/km","1.725 kg","7,9 sec","106 km","28,0 kWh","0 kW","unknown","501 L","€256 /km","€39,151","€42,881","£28,875","https://ev-database.org/car/1013/Mercedes-Benz-B-250e","https://ev-database.org/img/auto/Mercedes_B_250e/Mercedes_B_250e-01-thumb.jpg"
297,"Peugeot e-208 50 kWh","Available to order since August 2023","B",5,"290 km","160 Wh/km","1.530 kg","9,0 sec","318 km","46,3 kWh","78 kW","0 kg","265 L","€126 /km","€35,975","€35,870","£32,650","https://ev-database.org/car/1948/Peugeot-e-208-50-kWh","https://ev-database.org/img/auto/Peugeot_e-208_2024/Peugeot_e-208_2024-01-thumb.jpg"
298,"Polestar 2 Long Range Single Motor","Discontinued (January 2023 - September 2024)","D",5,"470 km","168 Wh/km","2.084 kg","6,2 sec","530 km","79,0 kWh","125 kW","1.500 kg","446 L","€112 /km","€49,975","€51,200","£48,950","https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
299,"Mercedes-Benz EQS 450 4MATIC","Available to order since April 2024","F",5,"660 km","179 Wh/km","2.630 kg","5,7 sec","704 km","118,0 kWh","160 kW","1.700 kg","620 L","€174 /km","€113,359","€115,745","N/A","https://ev-database.org/car/2194/Mercedes-Benz-EQS-450-4MATIC","https://ev-database.org/img/auto/Mercedes_EQS_2024/Mercedes_EQS_2024-01-thumb.jpg"
300,"Volvo XC40 Recharge Pure Electric","Discontinued (February 2022 - December 2022)","C",5,"330 km","203 Wh/km","2.023 kg","7,4 sec","355 km","67,0 kWh","116 kW","1.500 kg","450 L","€146 /km","€45,080","€46,995","£45,750","https://ev-database.org/car/1592/Volvo-XC40-Recharge-Pure-Electric","https://ev-database.org/img/auto/Volvo_XC40_Recharge_2023/Volvo_XC40_Recharge_2023-01-thumb.jpg"
301,"Cadillac Lyriq 600 E4","Available to order since June 2024","F",5,"460 km","222 Wh/km","2.774 kg","5,3 sec","492 km","102,0 kWh","165 kW","1.587 kg","793 L","€175 /km","€80,500","N/A","N/A","https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4","https://ev-database.org/img/auto/Cadillac_Lyriq/Cadillac_Lyriq-01-thumb.jpg"
302,"MG Marvel R","Available to order since October 2021","C",5,"365 km","192 Wh/km","1.885 kg","7,9 sec","344 km","70,0 kWh","82 kW","750 kg","507 L","€125 /km","€46,990","€44,485","N/A","https://ev-database.org/car/1524/MG-Marvel-R","https://ev-database.org/img/auto/MG_Marvel_R_2021/MG_Marvel_R_2021-01-thumb.jpg"
303,"Mercedes-Benz EQV 300 Long","Discontinued (September 2020 - February 2024)","N",7,"310 km","290 Wh/km","2.635 kg","12,1 sec","285 km","90,0 kWh","96 kW","0 kg","1.030 L","€276 /km","€71,626","€83,617","£87,995","https://ev-database.org/car/1240/Mercedes-Benz-EQV-300-Long","https://ev-database.org/img/auto/Mercedes_EQV/Mercedes_EQV-01-thumb.jpg"
304,"BYD DOLPHIN 44.9 kWh Active","Available to order since July 2023","C",5,"265 km","169 Wh/km","1.650 kg","12,3 sec","251 km","44,9 kWh","50 kW","0 kg","345 L","€113 /km","N/A","€29,990","£26,195","https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active","https://ev-database.org/img/auto/BYD_DOLPHIN/BYD_DOLPHIN-01-thumb.jpg"
305,"Volkswagen ID.3 Pro","Available to order since May 2024","C",5,"360 km","164 Wh/km","1.815 kg","7,6 sec","409 km","59,0 kWh","105 kW","0 kg","385 L","€112 /km","€39,995","€39,990","£35,700","https://ev-database.org/car/2213/Volkswagen-ID3-Pro","https://ev-database.org/img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg"
306,"Mercedes-Benz EQE 350+","Discontinued (June 2023 - April 2024)","E",5,"530 km","171 Wh/km","2.360 kg","6,4 sec","579 km","90,6 kWh","141 kW","750 kg","430 L","€155 /km","N/A","€82,028","N/A","https://ev-database.org/car/2006/Mercedes-Benz-EQE-350plus","https://ev-database.org/img/auto/Mercedes_EQE/Mercedes_EQE-01-thumb.jpg"
307,"CUPRA Born VZ","Available to order since June 2024","C",5,"465 km","170 Wh/km","1.999 kg","5,6 sec","517 km","79,0 kWh","135 kW","0 kg","385 L","€110 /km","€52,770","€49,990","£44,625","https://ev-database.org/car/2128/CUPRA-Born-VZ","https://ev-database.org/img/auto/Cupra_el-Born_Veloz/Cupra_el-Born_Veloz-01-thumb.jpg"
308,"Volkswagen ID. Buzz LWB GTX","Available to order since August 2024","N",7,"355 km","242 Wh/km","2.700 kg","6,5 sec","391 km","86,0 kWh","145 kW","1.600 kg","1.340 L","€210 /km","€74,928","€70,990","£67,795","https://ev-database.org/car/2157/Volkswagen-ID-Buzz-LWB-GTX-","https://ev-database.org/img/auto/Volkswagen_ID_Buzz_GTX/Volkswagen_ID_Buzz_GTX-01-thumb.jpg"
309,"Zeekr 7X Premium RWD","Available to order from May 2025*","D",5,"390 km","182 Wh/km","2.000 kg","6,0 sec","504 km","71,0 kWh","240 kW","2.000 kg","605 L","€138 /km","N/A","€53,990","N/A","https://ev-database.org/car/3081/Zeekr-7X-Premium-RWD","https://ev-database.org/img/auto/Zeekr_7X_2024/Zeekr_7X_2024-01-thumb.jpg"
310,"Polestar 2 Standard Range Single Motor","Available to order since June 2024","D",5,"415 km","164 Wh/km","2.020 kg","6,4 sec","464 km","68,0 kWh","110 kW","1.500 kg","448 L","€117 /km","€48,990","€44,950","£44,950","https://ev-database.org/car/2225/Polestar-2-Standard-Range-Single-Motor","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
311,"Maserati GranTurismo Folgore","Available to order since January 2024","F",4,"420 km","198 Wh/km","2.335 kg","2,7 sec","518 km","83,0 kWh","190 kW","unknown","270 L","€480 /km","€198,212","€199,250","£179,950","https://ev-database.org/car/1803/Maserati-GranTurismo-Folgore","https://ev-database.org/img/auto/Maserati_GranTurismo_Folgore/Maserati_GranTurismo_Folgore-01-thumb.jpg"
